json_game_id,proplay_game_id,flip_label,league
115615924499588632,13235-13235_game_1,0,LPL
115615926685761083,13235-13235_game_2,0,LPL
115548128962906232,LOLTMNT05_186273,0,LCK
115548128962906233,LOLTMNT05_186277,1,LCK
115615924499588594,13236-13236_game_1,0,LPL
115615926685695509,13236-13236_game_2,0,LPL
115615924499588656,13227-13227_game_1,1,LPL
115615926685761107,13227-13227_game_2,0,LPL
115615926685761108,13227-13227_game_3,0,LPL
115548128962840648,LOLTMNT01_367128,0,LCK
115548128962840649,LOLTMNT01_367136,1,LCK
115548128962840650,LOLTMNT01_366902,0,LCK
115615924499588612,13228-13228_game_1,0,LPL
115615926685695527,13228-13228_game_2,0,LPL
115548128962840612,LOLTMNT01_368128,0,LCK
115548128962840613,LOLTMNT01_368133,1,LCK
115615924499588590,13229-13229_game_1,0,LPL
115615926685695505,13229-13229_game_2,0,LPL
115615926685695506,13229-13229_game_3,0,LPL
115548128962906240,LOLTMNT01_368165,0,LCK
115548128962906241,LOLTMNT01_367338,1,LCK
115615924499588618,13230-13230_game_1,0,LPL
115615926685695533,13230-13230_game_2,0,LPL
115615926685695534,13230-13230_game_3,1,LPL
115548668059523681,LOLTMNT05_185066,0,LEC
115548668059523682,LOLTMNT05_185069,0,LEC
115548668059523683,LOLTMNT05_185072,0,LEC
115548668059589325,LOLTMNT05_185085,0,LEC
115548668059589326,LOLTMNT05_186054,1,LEC
115564793879403673,LOLTMNT02_380889,0,LCS
115564793879403674,LOLTMNT02_378878,0,LCS
115564793879338117,LOLTMNT02_378891,0,LCS
115564793879338118,LOLTMNT02_380912,1,LCS
115564793879338119,LOLTMNT02_380920,0,LCS
115548128962906264,LOLTMNT01_368322,0,LCK
115548128962906265,LOLTMNT01_367468,1,LCK
115548128962906266,LOLTMNT01_368343,0,LCK
115615926677896660,13231-13231_game_1,1,LPL
115615926677896661,13231-13231_game_2,1,LPL
115548668059523637,LOLTMNT04_156536,0,LEC
115548668059523638,LOLTMNT04_156545,0,LEC
115548668059523729,LOLTMNT04_155498,0,LEC
115548668059523730,LOLTMNT04_156560,0,LEC
115548668059523731,LOLTMNT04_155503,1,LEC
115565670260116202,LOLTMNT01_362809,0,CBLOL
115565670260116203,LOLTMNT01_363063,0,CBLOL
115548668059523777,LOLTMNT04_155512,0,LEC
115548668059523778,LOLTMNT04_155520,1,LEC
115565670260116274,LOLTMNT01_362850,0,CBLOL
115565670260116275,LOLTMNT01_362860,1,CBLOL
115564793879469285,LOLTMNT01_362898,0,LCS
115564793879469286,LOLTMNT01_363148,0,LCS
115564793879403701,LOLTMNT01_362920,0,LCS
115564793879403702,LOLTMNT01_362925,1,LCS
115564793879403703,LOLTMNT01_363170,0,LCS
115548128962840664,LOLTMNT01_364097,0,LCK
115548128962840665,LOLTMNT01_363354,0,LCK
115615924499588644,13221-13221_game_1,0,LPL
115615926685761095,13221-13221_game_2,0,LPL
115615926685761096,13221-13221_game_3,1,LPL
115548128962906260,LOLTMNT01_364137,0,LCK
115548128962906261,LOLTMNT01_364149,0,LCK
115615924499588600,13222-13222_game_1,0,LPL
115615926685695515,13222-13222_game_2,1,LPL
115548668059523705,LOLTMNT04_155589,0,LEC
115548668059523706,LOLTMNT04_155590,0,LEC
115548668059523707,LOLTMNT04_155593,0,LEC
115548668059523665,LOLTMNT04_156641,0,LEC
115548668059523666,LOLTMNT04_155609,0,LEC
115564793879403713,LOLTMNT01_363584,0,LCS
115564793879403714,LOLTMNT01_364351,0,LCS
115564793879338105,LOLTMNT01_364361,0,LCS
115564793879338106,LOLTMNT01_363607,0,LCS
115564793879338107,LOLTMNT01_364374,1,LCS
115548668059589317,LOLTMNT04_156669,0,LEC
115548668059589318,LOLTMNT04_156674,0,LEC
115548668059523733,LOLTMNT04_156685,0,LEC
115548668059523734,LOLTMNT04_156690,1,LEC
115565670260116214,LOLTMNT01_363940,0,CBLOL
115565670260116215,LOLTMNT01_364718,0,CBLOL
115565670260116216,LOLTMNT01_363976,1,CBLOL
115565670260116238,LOLTMNT01_364000,0,CBLOL
115565670260116239,LOLTMNT01_365007,0,CBLOL
115548128962906220,LOLTMNT01_365453,0,LCK
115548128962906221,LOLTMNT01_365467,0,LCK
115615924499588660,13223-13223_game_1,0,LPL
115615926685761111,13223-13223_game_2,1,LPL
115548128962906288,LOLTMNT01_366241,0,LCK
115548128962906289,LOLTMNT01_366261,1,LCK
115548128962906290,LOLTMNT01_366284,1,LCK
115615924499588610,13224-13224_game_1,0,LPL
115615926685695525,13224-13224_game_2,0,LPL
115615926685695526,13224-13224_game_3,0,LPL
115548128962906252,LOLTMNT01_366570,0,LCK
115548128962906253,LOLTMNT01_365803,1,LCK
115615924499588584,13225-13225_game_1,0,LPL
115615926685695499,13225-13225_game_2,1,LPL
115548128962840604,LOLTMNT01_366617,0,LCK
115548128962840605,LOLTMNT01_365830,1,LCK
115615924499588598,13226-13226_game_1,0,LPL
115615926685695513,13226-13226_game_2,0,LPL
115615924499588624,13215-13215_game_1,0,LPL
115615926685695539,13215-13215_game_2,0,LPL
115615926685695540,13215-13215_game_3,1,LPL
115548128962906300,LOLTMNT01_359892,0,LCK
115548128962906301,LOLTMNT01_359914,1,LCK
115615924499588596,13216-13216_game_1,0,LPL
115615926685695511,13216-13216_game_2,1,LPL
115548128962840636,LOLTMNT01_362027,0,LCK
115548128962840637,LOLTMNT01_361274,1,LCK
115615924499588634,13217-13217_game_1,0,LPL
115615926685761085,13217-13217_game_2,0,LPL
115615926685761086,13217-13217_game_3,1,LPL
115548128962840600,LOLTMNT01_362077,0,LCK
115548128962840601,LOLTMNT01_361313,1,LCK
115548128962840602,LOLTMNT01_361350,0,LCK
115615924499588580,13218-13218_game_1,0,LPL
115615926685695495,13218-13218_game_2,1,LPL
115615924499588606,13219-13219_game_1,1,LPL
115615926685695521,13219-13219_game_2,1,LPL
115548128962906272,LOLTMNT01_361912,0,LCK
115548128962906273,LOLTMNT01_361920,1,LCK
115615924499588616,13220-13220_game_1,1,LPL
115615926685695531,13220-13220_game_2,1,LPL
115615924499588608,13208-13208_game_1,1,LPL
115615926685695523,13208-13208_game_2,1,LPL
115548128962578452,LOLTMNT02_376401,0,LCK
115548128962840597,LOLTMNT02_376413,1,LCK
115615924499588588,13209-13209_game_1,1,LPL
115615926685695503,13209-13209_game_2,1,LPL
115615924499588620,13210-13210_game_1,0,LPL
115615926685695535,13210-13210_game_2,1,LPL
115548668059523737,LOLTMNT04_156054,0,LEC
115548668059523738,LOLTMNT04_155065,0,LEC
115548668059523669,LOLTMNT04_156068,0,LEC
115548668059523670,LOLTMNT04_156070,0,LEC
115548668059523673,LOLTMNT04_155085,0,LEC
115548668059523674,LOLTMNT04_155087,0,LEC
115565670260116262,LOLTMNT01_356590,0,CBLOL
