game_id,tournament,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,first_to_ten,blue_time10,red_time10,ft10_ambiguous,blue_kills10,red_kills10
LOLTMNT01_388121,LCK,BNK FEARX,Gen.G,"Gnar,Nocturne,Annie,Yunara,Lulu","Vayne,Wukong,Ryze,Jhin,Neeko","Clear,Raptor,VicLa,Taeyoon,Kellin","Kiin,Canyon,Chovy,Ruler,Duro",red,19.9998,16.165583333333334,0,red,,24.4976,0,0,0
LOLTMNT02_409322,LCK,Dplus Kia,BNK FEARX,"Gnar,Jarvan IV,Ryze,Caitlyn,Karma","Sion,Naafiri,Orianna,Lucian,Milio","Siwoo,Lucid,ShowMaker,Smash,Career","Clear,Raptor,VicLa,Taeyoon,Kellin",red,28.32988333333333,21.165983333333333,0,,,,1,1,1
LOLTMNT02_409387,LCK,BNK FEARX,Dplus Kia,"Ambessa,Lee Sin,Ahri,Ashe,Lulu","Rumble,Xin Zhao,LeBlanc,Ezreal,Seraphine","Clear,Raptor,VicLa,Taeyoon,Kellin","Siwoo,Lucid,ShowMaker,Smash,Career",blue,6.498983333333333,14.3262,0,blue,18.159783333333333,20.332983333333335,0,5,4
LOLTMNT02_409417,LCK,Dplus Kia,BNK FEARX,"Jayce,Skarner,Viktor,Jhin,Poppy","Yorick,Pantheon,Taliyah,Miss Fortune,Alistar","Siwoo,Lucid,ShowMaker,Smash,Career","Clear,Raptor,VicLa,Taeyoon,Kellin",blue,11.330833333333334,19.497533333333333,0,blue,26.831799999999998,,0,1,1
LOLTMNT01_380497,LCK,KT Rolster,BNK FEARX,"Jayce,Xin Zhao,Taliyah,Ashe,Seraphine","Olaf,Jarvan IV,Aurora,Mel,Skarner","PerfecT,Cuzz,Bdd,Aiming,Effort","Clear,Raptor,VicLa,Taeyoon,Kellin",red,30.164833333333334,14.499983333333335,0,red,,22.99115,0,0,1
LOLTMNT01_380553,LCK,KT Rolster,BNK FEARX,"K'Sante,Vi,Ahri,Yunara,Lulu","Renekton,Wukong,Lissandra,Caitlyn,Bard","PerfecT,Cuzz,Bdd,Aiming,Effort","Clear,Raptor,VicLa,Taeyoon,Kellin",red,13.488066666666667,13.488066666666667,1,red,,15.660533333333332,0,3,2
LOLTMNT01_387927,LCK,BNK FEARX,Nongshim RedForce,"Sion,Jarvan IV,Azir,Ezreal,Nami","Jayce,Pantheon,Ryze,Caitlyn,Karma","Clear,Raptor,VicLa,Taeyoon,Kellin","Kingen,Sponge,Scout,Diable,Pleata",red,16.165133333333333,13.498183333333333,0,blue,21.49815,29.164416666666668,0,1,4
LOLTMNT01_387933,LCK,BNK FEARX,Nongshim RedForce,"Olaf,Naafiri,Cassiopeia,Yunara,Milio","Gnar,Nocturne,Galio,Kog'Maw,Lulu","Clear,Raptor,VicLa,Taeyoon,Kellin","Kingen,Sponge,Scout,Diable,Pleata",red,27.322083333333335,13.49895,0,red,35.1575,27.165833333333335,0,0,3
LOLTMNT01_388537,LCK,HANJIN BRION,DN SOOPers,"Sion,Lee Sin,Ryze,Jhin,Karma","Renekton,Jarvan IV,Taliyah,Ashe,Seraphine","Casting,GIDEON,Roamer,Teddy,Namgung","DuDu,Pyosik,Clozer,Enosh,Life",blue,11.998433333333333,22.494983333333334,0,blue,16.661483333333333,,0,4,1
LOLTMNT01_387661,LCK,DN SOOPers,HANJIN BRION,"Ambessa,Vi,Cassiopeia,Corki,Nami","Zaahen,Xin Zhao,Akali,Ezreal,Neeko","DuDu,Pyosik,Clozer,Enosh,Life","Casting,GIDEON,Roamer,Teddy,Namgung",blue,11.663116666666667,,0,blue,23.159299999999998,,0,2,1
LOLTMNT02_412046,LCK,Gen.G,DN SOOPers,"Ambessa,Skarner,Anivia,Caitlyn,Bard","Rumble,Lee Sin,Ryze,Ashe,Seraphine","Kiin,Canyon,Chovy,Ruler,Duro","DuDu,Pyosik,Clozer,deokdam,Peter",blue,11.498616666666667,19.32675,0,blue,18.496716666666668,,0,2,1
LOLTMNT02_412073,LCK,Gen.G,DN SOOPers,"Vayne,Maokai,Annie,Lucian,Milio","Sion,Wukong,Akali,Corki,Nami","Kiin,Canyon,Chovy,Ruler,Duro","DuDu,Pyosik,Clozer,deokdam,Peter",blue,20.6509,22.830333333333332,0,blue,27.999783333333333,,0,2,1
LOLTMNT01_384771,LCK,Dplus Kia,DN SOOPers,"Sion,Jarvan IV,Cassiopeia,Caitlyn,Lux","Gwen,Xin Zhao,Viktor,Lucian,Milio","Siwoo,Lucid,ShowMaker,Smash,Career","DuDu,DDoiV,Clozer,Enosh,Life",blue,12.498850000000001,25.94431666666667,0,blue,16.664833333333334,,0,4,1
LOLTMNT01_383870,LCK,Dplus Kia,DN SOOPers,"Gnar,Skarner,Taliyah,Ashe,Lulu","Sylas,Pantheon,Ryze,Ezreal,Seraphine","Siwoo,Lucid,ShowMaker,Smash,Career","DuDu,DDoiV,Clozer,Enosh,Life",blue,23.65895,,0,,,,1,2,1
LOLTMNT02_414553,LCK,DN SOOPers,Nongshim RedForce,"Zaahen,Lee Sin,LeBlanc,Caitlyn,Bard","Sion,Pantheon,Cassiopeia,Ezreal,Neeko","DuDu,Pyosik,Clozer,deokdam,Peter","Kingen,Sponge,Scout,Diable,Lehends",blue,15.987966666666667,20.663400000000003,0,blue,26.161616666666664,28.831083333333332,0,2,1
LOLTMNT02_414569,LCK,DN SOOPers,Nongshim RedForce,"Rumble,Wukong,Annie,Zeri,Yuumi","Galio,Xin Zhao,Ryze,Yunara,Lulu","DuDu,Pyosik,Clozer,deokdam,Peter","Kingen,Sponge,Scout,Diable,Lehends",red,24.826683333333335,12.153033333333333,0,red,,18.49885,0,2,2
LOLTMNT02_414581,LCK,DN SOOPers,Nongshim RedForce,"Gnar,Naafiri,Aurora,Sivir,Karma","Renekton,Nocturne,Taliyah,Miss Fortune,Nautilus","DuDu,Pyosik,Clozer,deokdam,Peter","Kingen,Sponge,Scout,Diable,Lehends",red,23.994266666666665,23.162033333333333,0,red,,28.3313,0,3,0
LOLTMNT02_415144,LCK,Gen.G,HANJIN BRION,"Rumble,Vi,Ryze,Xayah,Rakan","Yorick,Xin Zhao,Taliyah,Lucian,Milio","Kiin,Canyon,Chovy,Ruler,Duro","Casting,GIDEON,Roamer,Teddy,Namgung",blue,19.665916666666664,,0,blue,24.988999999999997,,0,2,0
