game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,blue_pc_avg,red_pc_avg,first_to_five,blue_time,red_time
10149-10149_game_3,LPL,2023,Anyone's Legend,Ultra Prime,"Aphelios,Nocturne,Annie,Lulu,K'Sante","Zeri,Wukong,Gragas,Yuumi,Gwen","zhiqiuyi,Xiaohao,pinz,Zorah,Zdz","Doggo,Ning,Forge,SwordArt,Hery",0.3462,0.4033,red,20.0,20.0
10150-10150_game_1,LPL,2023,FunPlus Phoenix,ThunderTalk Gaming,"Zeri,Maokai,Qiyana,Yuumi,Sion","Aphelios,Wukong,Neeko,Lulu,K'Sante","Lwx,H4cker,Care,QiuQiu,Xiaolaohu","1xn,Beichuan,Ucal,yuyanjia,HOYA",0.5634,0.2925,blue,20.0,20.0
10150-10150_game_2,LPL,2023,FunPlus Phoenix,ThunderTalk Gaming,"Lucian,Maokai,Tristana,Nami,Gwen","Aphelios,Kha'Zix,Neeko,Lulu,K'Sante","Lwx,H4cker,Care,QiuQiu,Xiaolaohu","1xn,Beichuan,Ucal,yuyanjia,HOYA",0.4437,0.2058,red,20.0,20.0
10151-10151_game_1,LPL,2023,LGD Gaming,Invictus Gaming,"Aphelios,Graves,Annie,Nautilus,Malphite","Xayah,Rengar,Ahri,Milio,Sylas","Envyy,Meteor,haichao,Jinjiao,fearness","Ahn,Tianzhen,Cryin,Wink,YSKM",0.3321,0.5827,blue,20.0,20.0
10151-10151_game_2,LPL,2023,Invictus Gaming,LGD Gaming,"Jinx,Maokai,Tristana,Braum,Jax","Aphelios,Wukong,Annie,Nautilus,Kennen","Ahn,Tianzhen,Cryin,Wink,YSKM","Envyy,Meteor,haichao,Jinjiao,fearness",0.5555,0.2691,blue,20.0,20.0
10152-10152_game_1,LPL,2023,Ninjas in Pyjamas,EDward Gaming,"Aphelios,Viego,Annie,Lulu,Sion","Jinx,Vi,Ahri,Rakan,Jax","Photic,Shad0w,Angel,Zhuo,Invincible","Leave,Jiejie,FoFo,Meiko,Ale",0.375,0.5837,red,20.0,20.0
10152-10152_game_2,LPL,2023,EDward Gaming,Ninjas in Pyjamas,"Jinx,Viego,Neeko,Rakan,K'Sante","Aphelios,Wukong,Akali,Nautilus,Jax","Leave,Jiejie,FoFo,Meiko,Ale","Photic,Shad0w,Angel,Zhuo,Invincible",0.505,0.3846,blue,20.0,20.0
10153-10153_game_1,LPL,2023,Royal Never Give Up,Rare Atom,"Aphelios,Wukong,Annie,Braum,Gragas","Jinx,Maokai,Jayce,Nautilus,Sion","LP,Wei,Tangyuan,LvMao,Breathe","Assum,Leyan,Mole,Feather,Xiaoxu",0.5807,0.261,blue,20.0,20.0
10153-10153_game_2,LPL,2023,Rare Atom,Royal Never Give Up,"Xayah,Viego,Neeko,Blitzcrank,Gwen","Aphelios,Vi,Annie,Braum,K'Sante","Assum,Leyan,Mole,Feather,Xiaoxu","LP,Wei,Tangyuan,LvMao,Breathe",0.2844,0.59,blue,20.0,20.0
10154-10154_game_1,LPL,2023,LNG Esports,Top Esports,"Aphelios,Vi,Lissandra,Lulu,Sion","Lucian,Wukong,Ahri,Nami,Gragas","GALA,Tarzan,Scout,Hang,Zika","JackeyLove,Tian,Rookie,Mark,Wayward",0.4618,0.6282,blue,20.0,20.0
