game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,blue_kills10,red_kills10,blue_golddiff10,red_golddiff10,blue_fb,red_fb,blue_ckpm,red_ckpm
10953-10953_game_4,LPL,2024,JD Gaming,Ninjas in Pyjamas,"Ornn,Vi,Veigar,Jinx,Nautilus","Rek'Sai,Nocturne,Taliyah,Zeri,Rakan","Flandre,Kanavi,Yagao,Ruler,MISSING","shanji,Aki,Rookie,Photic,Zhuo",red,24.665,13.9984,0,1,1,,,,,0.2128,0.6383
10953-10953_game_5,LPL,2024,JD Gaming,Ninjas in Pyjamas,"Rek'Sai,Xin Zhao,Azir,Xayah,Rakan","Rumble,Vi,Corki,Zeri,Nautilus","Flandre,Kanavi,Yagao,Ruler,MISSING","shanji,Aki,Rookie,Photic,Zhuo",red,19.8236,19.5,0,0,2,,,,,0.6222,0.2074
10954-10954_game_1,LPL,2024,Bilibili Gaming,Top Esports,"Rek'Sai,Vi,Orianna,Kalista,Camille","Ornn,Lee Sin,Taliyah,Draven,Thresh","Bin,Xun,Knight,Elk,ON","369,Tian,Creme,JackeyLove,Meiko",red,14.8296,12.4999,0,3,3,,,,,0.6698,0.3628
10954-10954_game_2,LPL,2024,Top Esports,Bilibili Gaming,"Urgot,Maokai,Azir,Lucian,Nami","Rek'Sai,Xin Zhao,Veigar,Caitlyn,Lux","369,Tian,Creme,JackeyLove,Meiko","Bin,Xun,Knight,Elk,ON",blue,18.6621,20.6584,0,2,0,,,,,0.2307,0.3172
10954-10954_game_3,LPL,2024,Bilibili Gaming,Top Esports,"Renekton,Wukong,Azir,Kalista,Renata Glasc","Quinn,Lee Sin,Corki,Lucian,Nami","Bin,Xun,Knight,Elk,ON","369,Tian,Creme,JackeyLove,Meiko",blue,19.4952,30.0,0,3,2,,,,,0.6072,0.1056
10954-10954_game_4,LPL,2024,Top Esports,Bilibili Gaming,"Gragas,Maokai,Tristana,Draven,Nautilus","Rek'Sai,Kindred,Azir,Jinx,Rell","369,Tian,Creme,JackeyLove,Meiko","Bin,Xun,Knight,Elk,ON",red,20.0,13.1666,0,1,1,,,,,0.4,0.7143
10954-10954_game_5,LPL,2024,Bilibili Gaming,Top Esports,"Twisted Fate,Jax,Taliyah,Kalista,Rakan","K'Sante,Poppy,Azir,Varus,Thresh","Bin,Xun,Knight,Elk,ON","369,Tian,Creme,JackeyLove,Meiko",blue,25.8298,30.8331,0,1,1,,,,,0.3991,0.1995
LOLTMNT02_75115,LCK,2024,Hanwha Life Esports,T1,"K'Sante,Sejuani,Yone,Varus,Rell","Twisted Fate,Vi,Taliyah,Zeri,Rakan","Doran,Peanut,Zeka,Viper,Delight","Zeus,Oner,Faker,Gumayusi,Keria",red,36.166,23.6665,0,1,1,,,,,0.275,0.35
LOLTMNT02_76094,LCK,2024,T1,Hanwha Life Esports,"Zac,Viego,Corki,Senna,Sejuani","Rek'Sai,Vi,Azir,Varus,Rell","Zeus,Oner,Faker,Gumayusi,Keria","Doran,Peanut,Zeka,Viper,Delight",blue,13.4998,19.1639,0,3,1,,,,,0.3401,0.4535
LOLTMNT02_75116,LCK,2024,T1,Hanwha Life Esports,"K'Sante,Viego,Azir,Senna,Ornn","Gwen,Sejuani,Yone,Jinx,Thresh","Zeus,Oner,Faker,Gumayusi,Keria","Doran,Peanut,Zeka,Viper,Delight",blue,19.1643,20.9997,0,0,0,,,,,0.1422,0.4267
LOLTMNT02_76095,LCK,2024,Hanwha Life Esports,T1,"Rek'Sai,Nocturne,Azir,Zeri,Rell","Vayne,Xin Zhao,Taliyah,Varus,Nautilus","Doran,Peanut,Zeka,Viper,Delight","Zeus,Oner,Faker,Gumayusi,Keria",blue,16.6529,22.9979,0,1,3,,,,,0.2252,0.4754
LOLTMNT05_32052,LEC,2024,Team BDS,Fnatic,"Yasuo,Sejuani,Taliyah,Xayah,Rakan","Twisted Fate,Poppy,Azir,Zeri,Rell","Adam,Sheo,nuc,Ice,Labrov","Oscarinin,Razork,Humanoid,Noah,Jun",blue,15.1616,28.8221,0,0,0,,,,,0.66,0.22
