game_id,date,year,league,blue_team,red_team,blue_win,blue_picks,red_picks,blue_players,red_players
LOLTMNT02_241883,2025-04-03,2025,LCKC,Hanwha Life Esports Challengers,T1 Esports Academy,1,"Gwen,Sejuani,Viktor,Jinx,Rell","Rumble,Skarner,Azir,Jhin,Alistar","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing","Haetae,Vincenzo,Poby,Cypher,Cloud"
LOLTMNT02_241884,2025-04-03,2025,LCKC,Nongshim Esports Academy,DRX Challengers,0,"Rumble,Skarner,Yone,Miss Fortune,Rell","Galio,Xin Zhao,Azir,Ashe,Alistar","Kangin,Sylvie,Calix,vital,Crack","Frog,Juhan,kyeahoo,LazyFeel,Pleata"
LOLTMNT02_241899,2025-04-03,2025,LCKC,Nongshim Esports Academy,DRX Challengers,0,"Aatrox,Maokai,Corki,Ezreal,Nautilus","Ambessa,Naafiri,Orianna,Varus,Pantheon","Kangin,Sylvie,Calix,vital,Crack","Frog,Juhan,kyeahoo,LazyFeel,Pleata"
LOLTMNT02_241902,2025-04-03,2025,LCKC,T1 Esports Academy,Hanwha Life Esports Challengers,1,"Gnar,Lillia,Corki,Kai'Sa,Nautilus","Renekton,Zyra,Yone,Miss Fortune,Braum","Haetae,Vincenzo,Poby,Cypher,Cloud","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing"
LOLTMNT02_241923,2025-04-03,2025,LCKC,Hanwha Life Esports Challengers,T1 Esports Academy,0,"Aatrox,Vi,Taliyah,Xayah,Rakan","Ambessa,Wukong,Galio,Kalista,Renata Glasc","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing","Haetae,Vincenzo,Poby,Cypher,Cloud"
LOLTMNT02_242853,2025-04-03,2025,LCKC,HANJIN BRION Challengers,KT Rolster Challengers,1,"Olaf,Vi,Sylas,Xayah,Rakan","Ambessa,Viego,Ahri,Tristana,Pantheon","Lonely,HamBak,Starlit,Bull,Kice","Casting,YoungJae,Zinie,Paduck,Way"
LOLTMNT02_242868,2025-04-03,2025,LCKC,KT Rolster Challengers,HANJIN BRION Challengers,1,"Gwen,Xin Zhao,Annie,Jhin,Karma","Gragas,Maokai,Tryndamere,Ashe,Braum","Casting,YoungJae,Zinie,Paduck,Way","Lonely,HamBak,Starlit,Bull,Kice"
LOLTMNT02_243195,2025-04-04,2025,LCKC,Gen.G Global Academy,Dplus Kia Challengers,1,"Jax,Vi,Aurora,Jhin,Alistar","Sion,Wukong,Ryze,Varus,Renata Glasc","Hanbyeol,Winner,Kemish,About,Namgung","Jaehyuk,Sharvel,Garden,Wayne,Berr"
LOLTMNT02_244099,2025-04-04,2025,LCKC,DN SOOPers Challengers,BNK FEARX Youth,0,"Rumble,Sejuani,Yone,Xayah,Alistar","Gwen,Wukong,Akali,Kai'Sa,Gragas","Lancer,DDoiV,Pungyeon,Slayer,Minous","Soboro,Willer,Daystar,Envyy,Career"
LOLTMNT02_244100,2025-04-04,2025,LCKC,Dplus Kia Challengers,Gen.G Global Academy,0,"Rumble,Sejuani,Yone,Corki,Rell","Ambessa,Naafiri,Ahri,Xayah,Rakan","Jaehyuk,Sharvel,Garden,Wayne,Berr","Hanbyeol,Winner,Kemish,About,Namgung"
LOLTMNT02_244108,2025-04-04,2025,LCKC,Dplus Kia Challengers,Gen.G Global Academy,1,"Aatrox,Skarner,Azir,Miss Fortune,Braum","Kennen,Xin Zhao,Sylas,Ezreal,Neeko","Jaehyuk,Sharvel,Garden,Wayne,Berr","Hanbyeol,Winner,Kemish,About,Namgung"
LOLTMNT02_244109,2025-04-04,2025,LCKC,DN SOOPers Challengers,BNK FEARX Youth,0,"K'Sante,Viego,Azir,Jhin,Rell","Renekton,Lillia,Corki,Ashe,Leona","Lancer,DDoiV,Pungyeon,Slayer,Minous","Soboro,Willer,Daystar,Envyy,Career"
LOLTMNT03_213865,2025-04-07,2025,LCKC,DN SOOPers Challengers,Gen.G Global Academy,0,"Gnar,Naafiri,Galio,Kai'Sa,Rell","Jax,Wukong,Ahri,Jinx,Rakan","Lancer,DDoiV,Pungyeon,Slayer,Quantum","Hanbyeol,Winner,Kemish,About,Namgung"
